time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-25T00:01:58.400Z,19.4052,-155.2822,8.9,1.9,Ml,,39.6,0.00898315,0.19,hv,hv60859106,2015-02-25T00:08:14.552Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-25T00:01:18.850Z,38.8476677,-122.8248367,2.89,0.43,md,6,120,0.007078,0.01,nc,nc72401025,2015-02-25T00:02:57.410Z,"9km WNW of Cobb, California",earthquake
2015-02-24T23:51:03.330Z,38.7903328,-122.7381668,2.07,0.55,md,8,81,0.007174,0.04,nc,nc72401015,2015-02-25T00:13:04.457Z,"2km NE of The Geysers, California",earthquake
2015-02-24T23:43:18.850Z,-10.3026,23.4632,10,5.1,mb,,84,6.758,1.04,us,usc000tsyj,2015-02-25T00:01:16.288Z,"142km ENE of Luau, Angola",earthquake
2015-02-24T23:32:45.290Z,33.4746667,-116.5655,9.57,0.98,ml,29,78,0.03661,0.18,ci,ci37102183,2015-02-24T23:36:33.594Z,"13km SE of Anza, California",earthquake
2015-02-24T23:28:01.610Z,40.8458328,-124.819664,15.49,3.39,ml,52,227,0.5209,0.1,nc,nc72401005,2015-02-24T23:57:08.365Z,"54km WNW of Humboldt Hill, California",earthquake
2015-02-24T23:17:17.840Z,34.5458333,-118.1413333,9.3,1.19,ml,22,40,0.01623,0.29,ci,ci37102167,2015-02-24T23:21:21.424Z,"5km SW of Palmdale, California",earthquake
2015-02-24T23:17:16.800Z,19.4057,-155.2797,10.3,2.2,Md,,39.6,0.01796631,0.19,hv,hv60859071,2015-02-24T23:20:15.340Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T23:08:47.750Z,38.8043327,-122.8011703,1.77,0.84,md,18,44,0.005847,0.02,nc,nc72401000,2015-02-24T23:28:05.741Z,"4km NW of The Geysers, California",earthquake
2015-02-24T23:00:45.810Z,33.8683333,-117.5143333,0.01,1.49,ml,28,85,0.07686,0.31,ci,ci37102151,2015-02-24T23:04:50.291Z,"1km SSE of Home Gardens, California",quarry blast
2015-02-24T22:52:25.000Z,62.8775,-149.7673,0.5,1.8,ml,,,,1.09,ak,ak11517290,2015-02-24T23:39:30.606Z,"64km NNE of Talkeetna, Alaska",earthquake
2015-02-24T22:51:51.450Z,38.7923317,-122.7480011,1.19,1.45,md,23,44,0.01265,0.06,nc,nc72400985,2015-02-24T23:57:06.003Z,"1km NNE of The Geysers, California",earthquake
2015-02-24T22:50:57.600Z,19.3992,-155.2705,10.6,1.8,md,,32.3999974080002,0,0.27,hv,hv60859046,2015-02-24T22:54:05.000Z,"4km SW of Volcano, Hawaii",earthquake
2015-02-24T22:44:30.960Z,38.8366661,-122.8034973,2.63,0.44,md,12,92,0.01042,0.01,nc,nc72400980,2015-02-24T23:57:04.518Z,"7km WNW of Cobb, California",earthquake
2015-02-24T22:34:05.910Z,33.8543333,-117.5171667,0.01,1.21,ml,32,67,0.07044,0.36,ci,ci37102071,2015-02-24T22:38:07.172Z,"3km S of Home Gardens, California",quarry blast
2015-02-24T22:27:41.200Z,19.4035,-155.2818,8.5,2,Md,,43.2,0.01796631,0.17,hv,hv60859026,2015-02-24T22:30:58.878Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T22:23:14.000Z,62.9722,-149.5081,146.5,1.5,ml,,,,0.79,ak,ak11517247,2015-02-24T23:39:35.573Z,"54km SSW of Cantwell, Alaska",earthquake
2015-02-24T22:20:09.029Z,41.8554,-119.6535,6.1996,1.29,ml,5,223.62,0.145,0.1245,nn,nn00484515,2015-02-24T23:53:45.153Z,"68km ESE of Lakeview, Oregon",earthquake
2015-02-24T21:58:56.000Z,65.6116,-152.3225,11.8,2.5,ml,,,,0.72,ak,ak11517245,2015-02-24T23:39:59.627Z,"50km NNW of Tanana, Alaska",earthquake
2015-02-24T21:43:49.600Z,19.4117,-155.2845,9.4,1.9,ml,,39.5999968320002,0,0.21,hv,hv60858986,2015-02-24T21:49:39.000Z,"5km WSW of Volcano, Hawaii",earthquake
2015-02-24T21:43:27.020Z,36.0663333,-117.6928333,0.54,1.57,ml,30,58,0.07162,0.23,ci,ci37101903,2015-02-24T21:55:35.640Z,"23km E of Coso Junction, California",earthquake
2015-02-24T21:41:38.560Z,34.0128333,-117.2171667,16.86,1.88,ml,73,34,0.08989,0.3,ci,ci37101895,2015-02-24T21:52:27.900Z,"6km SE of Loma Linda, California",earthquake
2015-02-24T21:39:55.690Z,37.3209991,-122.105835,0.03,1.83,md,9,163,0.03779,0.1,nc,nc72400960,2015-02-24T23:57:04.635Z,"3km S of Loyola, California",earthquake
